,yfit,xfit,doctors_per_10000,life_expectancy
121,73.47818712366808,10.514794794794794,,
122,73.53553243361564,10.598718718718718,,
123,73.59238078467816,10.68264264264264,,
124,73.64873554716738,10.766566566566565,,
125,73.70460007660664,10.85049049049049,,
126,73.75997771376157,10.934414414414414,,
127,73.8148717846711,11.018338338338337,,
128,73.86928560067818,11.102262262262261,,
129,73.92322245846073,11.186186186186186,,
130,73.97668564006246,11.270110110110108,,
131,74.02967841292373,11.354034034034033,,
132,74.08220402991242,11.437957957957957,,
133,74.13426572935475,11.521881881881882,,
134,74.18586673506617,11.605805805805804,,
135,74.23701025638225,11.689729729729729,,
136,74.28769948818943,11.773653653653653,,
137,74.33793761095598,11.857577577577576,,
138,74.3877277907628,11.9415015015015,,
139,74.4370731793343,12.025425425425425,,
140,74.48597691406928,12.109349349349348,,
141,74.53444211807171,12.193273273273272,,
142,74.58247190018166,12.277197197197196,,
143,74.63006935500611,12.361121121121121,,
144,74.67723756294988,12.445045045045044,,
145,74.72397959024636,12.528968968968968,,
146,74.7702984889885,12.612892892892893,,
147,74.81619729715958,12.696816816816815,,
148,74.86167903866408,12.78074074074074,,
149,74.90674672335858,12.864664664664664,,
150,74.95140334708259,12.948588588588587,,
151,74.99565189168935,13.032512512512511,,
152,75.0394953250768,13.116436436436436,,
153,75.08293660121836,13.20036036036036,,
154,75.12597866019377,13.284284284284283,,
155,75.16862442822003,13.368208208208207,,
156,75.21087681768216,13.452132132132132,,
157,75.25273872716413,13.536056056056054,,
158,75.29421304147968,13.619979979979979,,
159,75.33530263170319,13.703903903903903,,
160,75.37601035520052,13.787827827827826,,
161,75.41633905565989,13.87175175175175,,
162,75.45629156312275,13.955675675675675,,
163,75.49587069401454,14.0395995995996,,
164,75.53507925117569,14.123523523523522,,
165,75.57392002389236,14.207447447447446,,
166,75.61239578792737,14.29137137137137,,
167,75.65050930555101,14.375295295295293,,
168,75.68826332557194,14.459219219219218,,
169,75.72566058336797,14.543143143143142,,
170,75.76270380091702,14.627067067067067,,
171,75.79939568682789,14.71099099099099,,
172,75.83573893637119,14.794914914914914,,
173,75.87173623151011,14.878838838838838,,
174,75.90739024093133,14.962762762762761,,
175,75.94270362007593,15.046686686686686,,
176,75.97767901117011,15.13061061061061,,
177,76.01231904325616,15.214534534534533,,
178,76.04662633222327,15.298458458458457,,
179,76.08060348083842,15.382382382382382,,
180,76.11425307877717,15.466306306306306,,
181,76.1475777026546,15.550230230230229,,
182,76.18057991605612,15.634154154154153,,
183,76.21326226956832,15.718078078078078,,
184,76.24562730080983,15.802002002002,,
185,76.2776775344622,15.885925925925925,,
186,76.30941548230076,15.96984984984985,,
187,76.34084364322543,16.053773773773774,,
188,76.3719645032916,16.137697697697696,,
189,76.40278053574103,16.221621621621622,,
190,76.43329420103264,16.305545545545545,,
191,76.46350794687339,16.389469469469468,,
192,76.49342420824918,16.473393393393394,,
193,76.52304540745561,16.557317317317317,,
194,76.55237395412895,16.64124124124124,,
195,76.58141224527691,16.725165165165166,,
196,76.61016266530955,16.80908908908909,,
197,76.63862758607006,16.89301301301301,,
198,76.66680936686575,16.976936936936937,,
199,76.69471035449878,17.06086086086086,,
200,76.72233288329707,17.144784784784783,,
201,76.74967927514516,17.22870870870871,,
202,76.77675183951504,17.31263263263263,,
203,76.80355287349704,17.396556556556554,,
204,76.83008466183067,17.48048048048048,,
205,76.85634947693546,17.564404404404403,,
206,76.88234957894187,17.648328328328326,,
207,76.90808721572206,17.732252252252252,,
208,76.93356462292084,17.816176176176175,,
209,76.95878402398647,17.900100100100097,,
210,76.9837476302015,17.984024024024023,,
211,77.0084576407137,18.067947947947946,,
212,77.03291624256686,18.151871871871872,,
213,77.05712561073165,18.235795795795795,,
214,77.08108790813647,18.319719719719718,,
215,77.10480528569836,18.403643643643644,,
216,77.12827988235381,18.487567567567567,,
217,77.1515138250896,18.57149149149149,,
218,77.1745092289737,18.655415415415415,,
219,77.19726819718613,18.739339339339338,,
220,77.21979282104974,18.82326326326326,,
221,77.2420851800612,18.907187187187187,,
222,77.26414734192166,18.99111111111111,,
223,77.28598136256787,19.075035035035032,,
224,77.30758928620278,19.15895895895896,,
225,77.32897314532659,19.24288288288288,,
226,77.35013496076742,19.326806806806804,,
227,77.37107674171239,19.41073073073073,,
228,77.39180048573826,19.494654654654653,,
229,77.41230817884244,19.57857857857858,,
230,77.4326017954738,19.6625025025025,,
231,77.45268329856344,19.746426426426424,,
232,77.47255463955574,19.83035035035035,,
233,77.49221775843898,19.914274274274273,,
234,77.51167458377644,19.998198198198196,,
235,77.530927032737,20.082122122122122,,
236,77.54997701112623,20.166046046046045,,
237,77.56882641341711,20.249969969969968,,
238,77.58747712278094,20.333893893893894,,
239,77.60593101111817,20.417817817817816,,
240,77.62418993908923,20.50174174174174,,
241,77.64225575614552,20.585665665665665,,
242,77.66013030056004,20.669589589589588,,
243,77.67781539945848,20.75351351351351,,
244,77.69531286884992,20.837437437437437,,
245,77.71262451365777,20.92136136136136,,
246,77.72975212775057,21.005285285285282,,
247,77.74669749397287,21.08920920920921,,
248,77.76346238417614,21.17313313313313,,
249,77.78004855924951,21.257057057057057,,
250,77.79645776915069,21.34098098098098,,
251,77.81269175293691,21.424904904904903,,
252,77.82875223879562,21.50882882882883,,
253,77.84464094407542,21.59275275275275,,
254,77.86035957531699,21.676676676676674,,
255,77.87590982828378,21.7606006006006,,
256,77.89129338799303,21.844524524524523,,
257,77.90651192874651,21.928448448448446,,
258,77.92156711416149,22.012372372372372,,
259,77.93646059720149,22.096296296296295,,
260,77.95119402020714,22.180220220220217,,
261,77.96576901492712,22.264144144144144,,
262,77.98018720254896,22.348068068068066,,
263,77.99445019372995,22.43199199199199,,
264,78.00855958862786,22.515915915915915,,
265,78.02251697693197,22.599839839839838,,
266,78.03632393789383,22.683763763763764,,
267,78.04998204035807,22.767687687687687,,
268,78.06349284279345,22.85161161161161,,
269,78.07685789332345,22.935535535535536,,
270,78.09007872975735,23.01945945945946,,
271,78.10315687962094,23.10338338338338,,
272,78.11609386018752,23.187307307307307,,
273,78.12889117850857,23.27123123123123,,
274,78.14155033144479,23.355155155155153,,
275,78.15407280569684,23.43907907907908,,
276,78.16646007783622,23.523003003003,,
277,78.17871361433617,23.606926926926924,,
278,78.19083487160249,23.69085085085085,,
279,78.20282529600439,23.774774774774773,,
280,78.21468632390534,23.858698698698696,,
281,78.22641938169399,23.942622622622622,,
282,78.23802588581495,24.026546546546545,,
283,78.24950724279968,24.110470470470467,,
284,78.26086484929738,24.194394394394394,,
285,78.27210009210573,24.278318318318316,,
286,78.28321434820195,24.362242242242242,,
287,78.2942089847734,24.446166166166165,,
288,78.3050853592487,24.530090090090088,,
289,78.31584481932833,24.614014014014014,,
290,78.32648870301571,24.697937937937937,,
291,78.33701833864794,24.78186186186186,,
292,78.34743504492663,24.865785785785786,,
293,78.35774013094886,24.94970970970971,,
294,78.36793489623795,25.03363363363363,,
295,78.37802063077439,25.117557557557557,,
296,78.38799861502658,25.20148148148148,,
297,78.3978701199818,25.285405405405402,,
298,78.40763640717705,25.36932932932933,,
299,78.41729872872983,25.45325325325325,,
