,indicator_sh_urb,country,countryiso3code_sh_urb,date_sh_urb,value_sh_urb,decimal_sh_urb,indicator_tot_pop,countryiso3code_tot_pop,date_tot_pop,value_tot_pop,decimal_tot_pop,iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,total_cases_ln,total_deaths_ln
35,Urban population (% of total population),Nigeria,NGA,2019,51.157,0,"Population, total",NGA,2019,200963603.0,0,NGA,Africa,Nigeria,2022-01-14,250009.0,423.0,544.857,3092.0,0.0,3.143,1182.631,2.001,2.577,14.626,0.0,0.015,1.0,211400704.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,54.69,0.539,12.4292521961964,8.036573409707312
36,Urban population (% of total population),Pakistan,PAK,2019,36.907,0,"Population, total",PAK,2019,216565317.0,0,PAK,Asia,Pakistan,2022-01-14,1320120.0,4286.0,2519.143,29003.0,4.0,5.857,5861.991,19.032,11.186,128.788,0.018,0.026,1.73,225199929.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,67.27,0.557,14.093233199521482,10.275154551894069
45,Urban population (% of total population),Sudan,SDN,2019,34.936,0,"Population, total",SDN,2019,42813237.0,0,SDN,Africa,Sudan,2022-01-14,50111.0,195.0,381.143,3358.0,11.0,2.571,1115.826,4.342,8.487,74.773,0.245,0.057,0.7,44909351.0,23.258,19.7,3.548,2.034,4466.507,431.388,15.67,65.31,0.51,10.821995823851237,8.119100837637486
18,Urban population (% of total population),Ghana,GHA,2019,56.707,0,"Population, total",GHA,2019,30417858.0,0,GHA,Africa,Ghana,2022-01-14,152729.0,486.0,664.286,1336.0,0.0,3.286,4813.071,15.316,20.934,42.102,0.0,0.104,1.42,31732128.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,64.07,0.611,11.93642038804093,7.197435354096591
13,Urban population (% of total population),Cote d'Ivoire,CIV,2019,51.239,0,"Population, total",CIV,2019,25716554.0,0,CIV,Africa,Cote d'Ivoire,2022-01-14,78699.0,204.0,339.714,748.0,1.0,2.286,2909.0,7.541,12.557,27.649,0.037,0.084,1.3,27053629.0,76.399,18.7,2.933,1.582,3601.006,303.74,2.42,57.78,0.538,11.273385727844461,6.617402977974478
5,Urban population (% of total population),Bangladesh,BGD,2019,37.405,0,"Population, total",BGD,2019,163046173.0,0,BGD,Asia,Bangladesh,2022-01-14,1609042.0,4378.0,2564.143,28129.0,6.0,4.429,9675.335,26.325,15.418,169.143,0.036,0.027,2.15,166303494.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,72.59,0.632,14.291149528803508,10.244556351616321
8,Urban population (% of total population),Cameroon,CMR,2019,56.968,0,"Population, total",CMR,2019,25876387.0,0,CMR,Africa,Cameroon,2022-01-14,109666.0,0.0,0.0,1853.0,0.0,0.0,4028.245,0.0,0.0,68.064,0.0,0.0,0.79,27224262.0,50.885,18.8,3.165,1.919,3364.926,244.661,7.2,59.29,0.563,11.605194662033567,7.52456122628536
25,Urban population (% of total population),Kenya,KEN,2019,27.507,0,"Population, total",KEN,2019,52573967.0,0,KEN,Africa,Kenya,2022-01-14,316700.0,1035.0,1081.429,5482.0,10.0,8.143,5759.679,18.823,19.667,99.699,0.182,0.148,0.85,54985702.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,66.7,0.601,12.665710232526731,8.60922527686273
46,Urban population (% of total population),Tanzania,TZA,2019,34.5,0,"Population, total",TZA,2019,58005461.0,0,TZA,Africa,Tanzania,2022-01-14,30564.0,0.0,0.0,740.0,0.0,0.0,496.988,0.0,0.0,12.033,0.0,0.0,0.63,61498438.0,64.699,17.7,3.108,1.874,2683.304,217.288,5.75,65.46,0.529,10.327578124767458,6.606650186198215
33,Urban population (% of total population),Nepal,NPL,2019,20.153,0,"Population, total",NPL,2019,28608715.0,0,NPL,Asia,Nepal,2022-01-14,845501.0,4204.0,2064.143,11613.0,3.0,1.571,28492.107,141.668,69.558,391.341,0.101,0.053,2.36,29674920.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,70.78,0.602,13.647684630052185,9.359880439245758
0,Urban population (% of total population),Afghanistan,AFG,2019,25.754,0,"Population, total",AFG,2019,38041757.0,0,AFG,Asia,Afghanistan,2022-01-14,158639.0,37.0,48.429,7376.0,0.0,1.143,3982.36,0.929,1.216,185.162,0.0,0.029,1.25,39835428.0,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,11.974386459593376,8.90598676523643
15,Urban population (% of total population),Ethiopia,ETH,2019,21.225,0,"Population, total",ETH,2019,112078727.0,0,ETH,Africa,Ethiopia,2022-01-14,454556.0,1428.0,1767.0,7117.0,8.0,15.0,3856.214,12.114,14.99,60.377,0.068,0.127,0.75,117876226.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,66.6,0.485,13.027076397330887,8.87024156729927
7,Urban population (% of total population),Burkina Faso,BFA,2019,29.98,0,"Population, total",BFA,2019,20321383.0,0,BFA,Africa,Burkina Faso,2022-01-14,19972.0,0.0,156.286,339.0,0.0,0.857,929.056,0.0,7.27,15.77,0.0,0.04,0.39,21497097.0,70.151,17.6,2.409,1.358,1703.102,269.048,2.42,61.58,0.452,9.902086571620499,5.82600010738045
49,Urban population (% of total population),Uganda,UGA,2019,24.361,0,"Population, total",UGA,2019,44269587.0,0,UGA,Africa,Uganda,2022-01-14,157227.0,523.0,979.857,3385.0,7.0,8.571,3336.486,11.098,20.793,71.832,0.149,0.182,1.14,47123533.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,63.37,0.544,11.965445899954108,8.127109185346375
56,Urban population (% of total population),"Yemen, Rep.",YEM,2019,37.273,0,"Population, total",YEM,2019,29161922.0,0,YEM,Asia,Yemen,2022-01-14,10233.0,0.0,10.571,1988.0,1.0,0.286,335.611,0.0,0.347,65.2,0.033,0.009,1.42,30490639.0,53.508,20.3,2.922,1.583,1479.147,495.003,5.35,66.12,0.47,9.233373071086755,7.59488438721652
27,Urban population (% of total population),Madagascar,MDG,2019,37.861,0,"Population, total",MDG,2019,26969306.0,0,MDG,Africa,Madagascar,2022-01-14,54101.0,1667.0,546.0,1117.0,50.0,12.857,1903.133,58.641,19.207,39.293,1.759,0.452,0.51,28427333.0,43.951,19.6,2.929,1.686,1416.44,405.994,3.94,67.04,0.528,10.898607948952096,7.018401799069201
31,Urban population (% of total population),Mozambique,MOZ,2019,36.528,0,"Population, total",MOZ,2019,30366043.0,0,MOZ,Africa,Mozambique,2022-01-14,217821.0,1262.0,1649.857,2117.0,8.0,6.0,6772.4,39.238,51.297,65.821,0.249,0.187,1.02,32163045.0,37.728,17.7,3.158,1.87,1136.103,329.942,3.3,60.85,0.456,12.291428903565793,7.6577552711348655
34,Urban population (% of total population),Niger,NER,2019,16.517,0,"Population, total",NER,2019,23310719.0,0,NER,Africa,Niger,2022-01-14,8347.0,41.0,65.143,287.0,1.0,1.0,332.142,1.631,2.592,11.42,0.04,0.04,1.23,25130810.0,16.955,15.1,2.553,1.378,926.0,238.339,2.42,62.42,0.394,9.029657471850737,5.659482215759621
12,Urban population (% of total population),"Congo, Dem. Rep.",COD,2019,45.046,0,"Population, total",COD,2019,86790568.0,0,COD,Africa,Democratic Republic of Congo,2022-01-14,82306.0,587.0,304.429,1225.0,0.0,0.0,890.97,6.354,3.295,13.261,0.0,0.0,1.02,92377986.0,35.879,17.0,3.02,1.745,808.133,318.949,6.1,60.68,0.48,11.318199288017514,7.110696122978827
